9	27	810	7290
0	0	0	144.597	138.623
1	0	0	153.328	142.192
2	0	0	183.435	122.12
3	0	0	141.65	153.519
4	0	0	150.4	152.451
5	0	0	180.826	158.575
6	0	0	149.727	182.69
7	0	0	158.386	177.161
8	0	0	188.129	208.694
0	0	1	191.271	137.805
1	0	1	200.322	142.188
2	0	1	228.706	122.879
3	0	1	188.545	153.735
4	0	1	197.622	152.449
5	0	1	226.378	158.372
6	0	1	195.883	183.962
7	0	1	204.876	177.161
8	0	1	232.951	207.504
0	0	2	237.752	137.053
1	0	2	247.313	142.192
2	0	2	274.135	123.658
3	0	2	235.418	154.016
4	0	2	244.89	152.449
5	0	2	272.015	158.111
6	0	2	241.981	185.237
7	0	2	251.382	177.171
8	0	2	277.81	206.275
0	0	3	284.315	136.267
1	0	3	294.282	142.191
2	0	3	319.491	124.438
3	0	3	282.211	154.265
4	0	3	292.185	152.447
5	0	3	317.6	157.838
6	0	3	287.964	186.453
7	0	3	297.788	177.166
8	0	3	322.72	205.027
0	0	4	330.63	135.44
1	0	4	341.216	142.188
2	0	4	364.908	125.249
3	0	4	328.782	154.5
4	0	4	339.389	152.445
5	0	4	363.384	157.612
6	0	4	333.837	187.7
7	0	4	344.335	177.162
8	0	4	367.74	203.791
0	0	5	377.03	134.641
1	0	5	388.175	142.187
2	0	5	410.526	126.023
3	0	5	375.476	154.715
4	0	5	386.61	152.455
5	0	5	409.191	157.412
6	0	5	379.743	189.003
7	0	5	390.77	177.174
8	0	5	412.857	202.589
0	0	6	144.986	185.143
1	0	6	153.671	188.786
2	0	6	183.761	167.89
3	0	6	141.649	200.583
4	0	6	150.4	199.649
5	0	6	180.831	204.918
6	0	6	149.371	228.324
7	0	6	158.051	222.883
8	0	6	187.752	253.649
0	0	7	191.546	184.311
1	0	7	200.604	188.795
2	0	7	229.069	168.708
3	0	7	188.549	200.781
4	0	7	197.625	199.651
5	0	7	226.383	204.706
6	0	7	195.535	229.538
7	0	7	204.528	222.9
8	0	7	232.622	252.453
0	0	8	238.127	183.459
1	0	8	247.539	188.785
2	0	8	274.362	169.516
3	0	8	235.41	201.017
4	0	8	244.891	199.651
5	0	8	272.005	204.517
6	0	8	241.61	230.733
7	0	8	251.116	222.886
8	0	8	277.525	251.272
0	0	9	284.529	182.62
1	0	9	294.498	188.788
2	0	9	319.663	170.349
3	0	9	282.213	201.24
4	0	9	292.192	199.656
5	0	9	317.595	204.324
6	0	9	287.666	231.969
7	0	9	297.573	222.897
8	0	9	322.542	250.093
0	0	10	330.86	181.787
1	0	10	341.413	188.787
2	0	10	365.18	171.173
3	0	10	328.775	201.438
4	0	10	339.395	199.649
5	0	10	363.386	204.127
6	0	10	333.613	233.229
7	0	10	344.091	222.892
8	0	10	367.564	248.866
0	0	11	377.259	180.981
1	0	11	388.377	188.793
2	0	11	410.669	171.962
3	0	11	375.482	201.63
4	0	11	386.613	199.651
5	0	11	409.202	203.89
6	0	11	379.573	234.426
7	0	11	390.607	222.885
8	0	11	412.708	247.646
0	0	12	145.349	231.601
1	0	12	154.083	235.445
2	0	12	184.144	213.678
3	0	12	141.647	247.711
4	0	12	150.396	246.966
5	0	12	180.827	251.35
6	0	12	149.036	274.09
7	0	12	157.649	268.766
8	0	12	187.428	298.694
0	0	13	191.923	230.732
1	0	13	200.964	235.435
2	0	13	229.348	214.535
3	0	13	188.547	247.904
4	0	13	197.626	246.967
5	0	13	226.389	251.206
6	0	13	195.255	275.263
7	0	13	204.26	268.757
8	0	13	232.343	297.538
0	0	14	238.415	229.858
1	0	14	247.835	235.438
2	0	14	274.566	215.365
3	0	14	235.416	248.104
4	0	14	244.9	246.966
5	0	14	272.002	251.017
6	0	14	241.387	276.413
7	0	14	250.743	268.765
8	0	14	277.331	296.424
0	0	15	284.759	229.061
1	0	15	294.703	235.437
2	0	15	319.957	216.249
3	0	15	282.211	248.279
4	0	15	292.193	246.965
5	0	15	317.599	250.82
6	0	15	287.451	277.605
7	0	15	297.377	268.753
8	0	15	322.362	295.241
0	0	16	331.159	228.179
1	0	16	341.599	235.432
2	0	16	365.396	217.123
3	0	16	328.778	248.421
4	0	16	339.392	246.973
5	0	16	363.399	250.645
6	0	16	333.439	278.811
7	0	16	343.813	268.76
8	0	16	367.408	294.081
0	0	17	377.447	227.302
1	0	17	388.549	235.432
2	0	17	410.825	217.91
3	0	17	375.48	248.584
4	0	17	386.618	246.979
5	0	17	409.195	250.476
6	0	17	379.415	279.988
7	0	17	390.458	268.765
8	0	17	412.563	292.938
0	0	18	145.706	278.024
1	0	18	154.419	281.963
2	0	18	184.442	259.383
3	0	18	141.642	294.789
4	0	18	150.392	294.238
5	0	18	180.842	297.652
6	0	18	148.635	319.783
7	0	18	157.307	314.639
8	0	18	187.135	343.772
0	0	19	192.284	277.094
1	0	19	201.321	281.971
2	0	19	229.623	260.299
3	0	19	188.551	294.969
4	0	19	197.625	294.237
5	0	19	226.374	297.546
6	0	19	194.89	320.992
7	0	19	203.89	314.642
8	0	19	232.066	342.675
0	0	20	238.657	276.24
1	0	20	248.195	281.966
2	0	20	274.89	261.15
3	0	20	235.407	295.115
4	0	20	244.89	294.232
5	0	20	272	297.431
6	0	20	241.121	322.126
7	0	20	250.476	314.642
8	0	20	277.078	341.494
0	0	21	285.12	275.307
1	0	21	295.036	281.969
2	0	21	320.275	262.055
3	0	21	282.214	295.283
4	0	21	292.196	294.245
5	0	21	317.609	297.32
6	0	21	287.232	323.323
7	0	21	297.107	314.639
8	0	21	322.13	340.424
0	0	22	331.384	274.378
1	0	22	341.805	281.972
2	0	22	365.547	262.858
3	0	22	328.775	295.399
4	0	22	339.392	294.236
5	0	22	363.382	297.195
6	0	22	333.233	324.452
7	0	22	343.596	314.646
8	0	22	367.218	339.308
0	0	23	377.618	273.495
1	0	23	388.708	281.955
2	0	23	411.027	263.724
